Time Since Start, Front, Front ADC, Back, Back ADC, RPM 
11.881815671920776,-11.244377811094452,25,11.553408255435354,58,9147
11.897936820983887,-11.244377811094452,25,11.553408255435354,58,9210
11.913956880569458,-11.244377811094452,25,11.553408255435354,58,9180
11.929821968078613,-11.244377811094452,25,11.553408255435354,58,9200
11.946013927459717,-11.244377811094452,25,11.553408255435354,58,9107
11.961992025375366,-11.244377811094452,25,11.553408255435354,58,9180
11.977998733520508,-11.244377811094452,25,11.553408255435354,58,9180
11.993744850158691,-11.244377811094452,25,11.553408255435354,58,8968
12.026115894317627,-11.244377811094452,25,11.553408255435354,58,9132
12.041859865188599,-11.244377811094452,25,11.553408255435354,58,9151
12.058032989501953,-11.244377811094452,25,11.553408255435354,58,9180
12.073974847793579,-11.244377811094452,25,11.553408255435354,58,9127
